time_s,angle_deg,angular_vel_dps,pid_output,setpoint
1.4000,0.0255,-0.1140,-0.0042,0.0000
1.4100,0.0244,-0.1092,-0.0040,0.0000
1.4200,0.0234,-0.1045,-0.0038,0.0000
1.4300,0.0224,-0.1000,-0.0037,0.0000
1.4400,0.0214,-0.0957,-0.0035,0.0000
1.4500,0.0205,-0.0916,-0.0034,0.0000
1.4600,0.0196,-0.0877,-0.0032,0.0000
1.4700,0.0188,-0.0839,-0.0031,0.0000
1.4800,0.0180,-0.0804,-0.0030,0.0000
1.4900,0.0172,-0.0769,-0.0028,0.0000
1.5000,0.0165,-0.0736,-0.0027,0.0000
1.5100,0.0157,-0.0705,-0.0026,0.0000
1.5200,0.0151,-0.0674,-0.0025,0.0000
1.5300,0.0144,-0.0646,-0.0024,0.0000
1.5400,0.0138,-0.0618,-0.0023,0.0000
1.5500,0.0132,-0.0591,-0.0022,0.0000
1.5600,0.0127,-0.0566,-0.0021,0.0000
1.5700,0.0121,-0.0542,-0.0020,0.0000
1.5800,0.0116,-0.0519,-0.0019,0.0000
1.5900,0.0111,-0.0496,-0.0018,0.0000
1.6000,0.0106,-0.0475,-0.0018,0.0000
1.6100,0.0102,-0.0455,-0.0017,0.0000
1.6200,0.0097,-0.0435,-0.0016,0.0000
1.6300,0.0093,-0.0417,-0.0015,0.0000
1.6400,0.0089,-0.0399,-0.0015,0.0000
1.6500,0.0085,-0.0382,-0.0014,0.0000
1.6600,0.0082,-0.0365,-0.0013,0.0000
1.6700,0.0078,-0.0350,-0.0013,0.0000
1.6800,0.0075,-0.0335,-0.0012,0.0000
1.6900,0.0072,-0.0320,-0.0012,0.0000
1.7000,0.0069,-0.0307,-0.0011,0.0000
1.7100,0.0066,-0.0294,-0.0011,0.0000
1.7200,0.0063,-0.0281,-0.0010,0.0000
1.7300,0.0060,-0.0269,-0.0010,0.0000
1.7400,0.0058,-0.0257,-0.0009,0.0000
1.7500,0.0055,-0.0246,-0.0009,0.0000
1.7600,0.0053,-0.0236,-0.0009,0.0000
1.7700,0.0050,-0.0226,-0.0008,0.0000
1.7800,0.0048,-0.0216,-0.0008,0.0000
1.7900,0.0046,-0.0207,-0.0008,0.0000
1.8000,0.0044,-0.0198,-0.0007,0.0000
1.8100,0.0042,-0.0190,-0.0007,0.0000
1.8200,0.0041,-0.0181,-0.0007,0.0000
1.8300,0.0039,-0.0174,-0.0006,0.0000
1.8400,0.0037,-0.0166,-0.0006,0.0000
1.8500,0.0036,-0.0159,-0.0006,0.0000
1.8600,0.0034,-0.0152,-0.0006,0.0000
1.8700,0.0033,-0.0146,-0.0005,0.0000
1.8800,0.0031,-0.0140,-0.0005,0.0000
1.8900,0.0030,-0.0134,-0.0005,0.0000
1.9000,0.0029,-0.0128,-0.0005,0.0000
1.9100,0.0027,-0.0122,-0.0005,0.0000
1.9200,0.0026,-0.0117,-0.0004,0.0000
1.9300,0.0025,-0.0112,-0.0004,0.0000
1.9400,0.0024,-0.0107,-0.0004,0.0000
1.9500,0.0023,-0.0103,-0.0004,0.0000
1.9600,0.0022,-0.0098,-0.0004,0.0000
1.9700,0.0021,-0.0094,-0.0003,0.0000
1.9800,0.0020,-0.0090,-0.0003,0.0000
1.9900,0.0019,-0.0086,-0.0003,0.0000
2.0000,0.0018,-0.0083,-0.0003,0.0000
2.0100,0.0018,-0.0079,-0.0003,0.0000
2.0200,0.0017,-0.0076,-0.0003,0.0000
2.0300,0.0016,-0.0072,-0.0003,0.0000
2.0400,0.0015,-0.0069,-0.0003,0.0000
2.0500,0.0015,-0.0066,-0.0002,0.0000
2.0600,0.0014,-0.0063,-0.0002,0.0000
2.0700,0.0014,-0.0061,-0.0002,0.0000
2.0800,0.0013,-0.0058,-0.0002,0.0000
2.0900,0.0012,-0.0056,-0.0002,0.0000
2.1000,0.0012,-0.0053,-0.0002,0.0000
2.1100,0.0011,-0.0051,-0.0002,0.0000
2.1200,0.0011,-0.0049,-0.0002,0.0000
2.1300,0.0010,-0.0047,-0.0002,0.0000
2.1400,0.0010,-0.0045,-0.0002,0.0000
2.1500,0.0010,-0.0043,-0.0002,0.0000
2.1600,0.0009,-0.0041,-0.0002,0.0000
2.1700,0.0009,-0.0039,-0.0001,0.0000
2.1800,0.0008,-0.0038,-0.0001,0.0000
2.1900,0.0008,-0.0036,-0.0001,0.0000
2.2000,0.0008,-0.0034,-0.0001,0.0000
2.2100,0.0007,-0.0033,-0.0001,0.0000
2.2200,0.0007,-0.0032,-0.0001,0.0000
2.2300,0.0007,-0.0030,-0.0001,0.0000
2.2400,0.0006,-0.0029,-0.0001,0.0000
2.2500,0.0006,-0.0028,-0.0001,0.0000
2.2600,0.0006,-0.0026,-0.0001,0.0000
2.2700,0.0006,-0.0025,-0.0001,0.0000
2.2800,0.0005,-0.0024,-0.0001,0.0000
2.2900,0.0005,-0.0023,-0.0001,0.0000
2.3000,0.0005,-0.0022,-0.0001,0.0000
2.3100,0.0005,-0.0021,-0.0001,0.0000
2.3200,0.0005,-0.0020,-0.0001,0.0000
2.3300,0.0004,-0.0019,-0.0001,0.0000
2.3400,0.0004,-0.0019,-0.0001,0.0000
2.3500,0.0004,-0.0018,-0.0001,0.0000
2.3600,0.0004,-0.0017,-0.0001,0.0000
2.3700,0.0004,-0.0016,-0.0001,0.0000
2.3800,0.0003,-0.0016,-0.0001,0.0000
2.3900,0.0003,-0.0015,-0.0001,0.0000
2.4000,0.0003,-0.0014,-0.0001,0.0000
2.4100,0.0003,-0.0014,-0.0001,0.0000
2.4200,0.0003,-0.0013,-0.0000,0.0000
2.4300,0.0003,-0.0013,-0.0000,0.0000
2.4400,0.0003,-0.0012,-0.0000,0.0000
2.4500,0.0003,-0.0012,-0.0000,0.0000
2.4600,0.0002,-0.0011,-0.0000,0.0000
2.4700,0.0002,-0.0011,-0.0000,0.0000
2.4800,0.0002,-0.0010,-0.0000,0.0000
2.4900,0.0002,-0.0010,-0.0000,0.0000
2.5000,0.0002,-0.0009,-0.0000,0.0000
2.5100,0.0002,-0.0009,-0.0000,0.0000
2.5200,0.0002,-0.0008,-0.0000,0.0000
2.5300,0.0002,-0.0008,-0.0000,0.0000
2.5400,0.0002,-0.0008,-0.0000,0.0000
2.5500,0.0002,-0.0007,-0.0000,0.0000
2.5600,0.0002,-0.0007,-0.0000,0.0000
2.5700,0.0002,-0.0007,-0.0000,0.0000
2.5800,0.0001,-0.0007,-0.0000,0.0000
2.5900,0.0001,-0.0006,-0.0000,0.0000
2.6000,0.0001,-0.0006,-0.0000,0.0000
2.6100,0.0001,-0.0006,-0.0000,0.0000
2.6200,0.0001,-0.0005,-0.0000,0.0000
2.6300,0.0001,-0.0005,-0.0000,0.0000
2.6400,0.0001,-0.0005,-0.0000,0.0000
2.6500,0.0001,-0.0005,-0.0000,0.0000
2.6600,0.0001,-0.0005,-0.0000,0.0000
2.6700,0.0001,-0.0004,-0.0000,0.0000
2.6800,0.0001,-0.0004,-0.0000,0.0000
2.6900,0.0001,-0.0004,-0.0000,0.0000
2.7000,0.0001,-0.0004,-0.0000,0.0000
2.7100,0.0001,-0.0004,-0.0000,0.0000
2.7200,0.0001,-0.0004,-0.0000,0.0000
2.7300,0.0001,-0.0003,-0.0000,0.0000
2.7400,0.0001,-0.0003,-0.0000,0.0000
2.7500,0.0001,-0.0003,-0.0000,0.0000
2.7600,0.0001,-0.0003,-0.0000,0.0000
2.7700,0.0001,-0.0003,-0.0000,0.0000
2.7800,0.0001,-0.0003,-0.0000,0.0000
2.7900,0.0001,-0.0003,-0.0000,0.0000
2.8000,0.0001,-0.0002,-0.0000,0.0000
2.8100,0.0001,-0.0002,-0.0000,0.0000
2.8200,0.0001,-0.0002,-0.0000,0.0000
2.8300,0.0000,-0.0002,-0.0000,0.0000
2.8400,0.0000,-0.0002,-0.0000,0.0000
2.8500,0.0000,-0.0002,-0.0000,0.0000
2.8600,0.0000,-0.0002,-0.0000,0.0000
2.8700,0.0000,-0.0002,-0.0000,0.0000
2.8800,0.0000,-0.0002,-0.0000,0.0000
2.8900,0.0000,-0.0002,-0.0000,0.0000
2.9000,0.0000,-0.0002,-0.0000,0.0000
2.9100,0.0000,-0.0002,-0.0000,0.0000
2.9200,0.0000,-0.0001,-0.0000,0.0000
2.9300,0.0000,-0.0001,-0.0000,0.0000
2.9400,0.0000,-0.0001,-0.0000,0.0000
2.9500,0.0000,-0.0001,-0.0000,0.0000
2.9600,0.0000,-0.0001,-0.0000,0.0000
2.9700,0.0000,-0.0001,-0.0000,0.0000
2.9800,0.0000,-0.0001,-0.0000,0.0000
2.9900,0.0000,-0.0001,-0.0000,0.0000
3.0000,0.0000,-0.0001,-0.0000,0.0000
3.0100,0.0000,-0.0001,-0.0000,0.0000
3.0200,0.0000,-0.0001,-0.0000,0.0000
3.0300,0.0000,-0.0001,-0.0000,0.0000
3.0400,0.0000,-0.0001,-0.0000,0.0000
3.0500,0.0000,-0.0001,-0.0000,0.0000
3.0600,0.0000,-0.0001,-0.0000,0.0000
3.0700,0.0000,-0.0001,-0.0000,0.0000
3.0800,0.0000,-0.0001,-0.0000,0.0000
3.0900,0.0000,-0.0001,-0.0000,0.0000
3.1000,0.0000,-0.0001,-0.0000,0.0000
3.1100,0.0000,-0.0001,-0.0000,0.0000
3.1200,0.0000,-0.0001,-0.0000,0.0000
3.1300,0.0000,-0.0001,-0.0000,0.0000
3.1400,0.0000,-0.0001,-0.0000,0.0000
3.1500,0.0000,-0.0001,-0.0000,0.0000
3.1600,0.0000,-0.0001,-0.0000,0.0000
3.1700,0.0000,-0.0000,-0.0000,0.0000
3.1800,0.0000,-0.0000,-0.0000,0.0000
3.1900,0.0000,-0.0000,-0.0000,0.0000
3.2000,0.0000,-0.0000,-0.0000,0.0000
3.2100,0.0000,-0.0000,-0.0000,0.0000
3.2200,0.0000,-0.0000,-0.0000,0.0000
3.2300,0.0000,-0.0000,-0.0000,0.0000
3.2400,0.0000,-0.0000,-0.0000,0.0000
3.2500,0.0000,-0.0000,-0.0000,0.0000
3.2600,0.0000,-0.0000,-0.0000,0.0000
3.2700,0.0000,-0.0000,-0.0000,0.0000
3.2800,0.0000,-0.0000,-0.0000,0.0000
3.2900,0.0000,-0.0000,-0.0000,0.0000
3.3000,0.0000,-0.0000,-0.0000,0.0000
3.3100,0.0000,-0.0000,-0.0000,0.0000
3.3200,0.0000,-0.0000,-0.0000,0.0000
3.3300,0.0000,-0.0000,-0.0000,0.0000
3.3400,0.0000,-0.0000,-0.0000,0.0000
3.3500,0.0000,-0.0000,-0.0000,0.0000
3.3600,0.0000,-0.0000,-0.0000,0.0000
3.3700,0.0000,-0.0000,-0.0000,0.0000
3.3800,0.0000,-0.0000,-0.0000,0.0000
3.3900,0.0000,-0.0000,-0.0000,0.0000
3.4000,0.0000,-0.0000,-0.0000,0.0000
3.4100,0.0000,-0.0000,-0.0000,0.0000
3.4200,0.0000,-0.0000,-0.0000,0.0000
3.4300,0.0000,-0.0000,-0.0000,0.0000
3.4400,0.0000,-0.0000,-0.0000,0.0000
3.4500,0.0000,-0.0000,-0.0000,0.0000
3.4600,0.0000,-0.0000,-0.0000,0.0000
3.4700,0.0000,-0.0000,-0.0000,0.0000
3.4800,0.0000,-0.0000,-0.0000,0.0000
3.4900,0.0000,-0.0000,-0.0000,0.0000
3.5000,0.0000,-0.0000,-0.0000,0.0000
3.5100,0.0000,-0.0000,-0.0000,0.0000
3.5200,0.0000,-0.0000,-0.0000,0.0000
3.5300,0.0000,-0.0000,-0.0000,0.0000
3.5400,0.0000,-0.0000,-0.0000,0.0000
3.5500,0.0000,-0.0000,-0.0000,0.0000
